,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
59,"Best of Toronto Private, In-Car, Food + Sightseeing Tour",Bus Tours,3–5 hours,$269.71,per adult,Free cancellation,By Eating Through T.O.,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d15639587-Reviews-Eating_Through_T_O-Toronto_Ontario.html
60,Scenic Toronto Night Tour,Bus Tours,2–3 hours,$103.86,per adult,Free cancellation,By See Sight Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d10717673-Reviews-See_Sight_Tours-Toronto_Ontario.html
61,Niagara Falls and Niagara on the Lake All Inclusive Luxury Bus Day Tour,Bus Tours,1 day,$165.15,per adult,Free cancellation,By Airlink Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html
62,Ontario Place Segway Glide,Segway Tours,60–75 minutes,$55.55,per adult,Free cancellation,By Go Tours Canada,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1924753-Reviews-Go_Tours_Canada-Toronto_Ontario.html
63,Small Group Niagara Tour from Toronto with Boat,Full-day Tours,6+ hours,$152.16,per adult,Free cancellation,By Tour To Niagara Falls,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d15815379-Reviews-Tour_To_Niagara_Falls-Toronto_Ontario.html
64,Toronto to Niagara Falls luxuary Tour,Bus Tours,7–9 hours,$377.59,per adult,Free cancellation,By Airlink Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html
65,,1,2,,,4,,Toronto,Canada,
66,,,,,,,Clear all filters,Toronto,Canada,
67,Small-Group Downtown Toronto Walking Tour,Walking Tours,2 hours,$28.90,per adult,Free cancellation,By Top Dog Tours Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17747774-Reviews-Top_Dog_Tours_Toronto-Toronto_Ontario.html
68,Niagara Falls Guided 9 Hour Day Trip with Round-trip Transfer,Bus Tours,6+ hours,$111.91,per adult,Free cancellation,By VIP Ontario Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12240293-Reviews-VIP_Ontario_Tours-Toronto_Ontario.html
69,"Niagara Wine Region Tour (from Toronto), plus Toronto Walking Tour",Bus Tours,6+ hours,$138.15,per adult,Free cancellation,By Vox City Toronto & Niagara,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d23416812-Reviews-Vox_City_Toronto_Niagara-Toronto_Ontario.html
70,Private Downtown Toronto Walking Tour in English,Walking Tours,2 hours,$57.81,per adult,Free cancellation,By Top Dog Tours Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17747774-Reviews-Top_Dog_Tours_Toronto-Toronto_Ontario.html
71,Small-Group Niagara Falls Tour,Bus Tours,6+ hours,$160.21,per adult,Free cancellation,By VIP Ontario Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12240293-Reviews-VIP_Ontario_Tours-Toronto_Ontario.html
72,Private Toronto Guided City Tour,Bus Tours,2–3 hours,$483.06,per group,Free cancellation,By VIP Ontario Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12240293-Reviews-VIP_Ontario_Tours-Toronto_Ontario.html
73,"Toronto Private Tour with a Local Guide, Tailored to Your Interests ★★★★★",City Tours,3–8 hours,$124.59,per adult,Free cancellation,By City Unscripted Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d21306817-Reviews-City_Unscripted_Toronto-Toronto_Ontario.html
74,"Guided Bicycle Tour - Toronto Waterfront, Island and Distillery",Bike Tours,3 hours,$80.51,per adult,Free cancellation,By Pedal Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d14009496-Reviews-Pedal_Toronto-Toronto_Ontario.html
75,Niagara Falls Day and Evening Tour from Toronto With Niagara SkyWheel,Bus Tours,6+ hours,$119.96,per adult,Free cancellation,By Zoom Tours Niagara Falls,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1627398-Reviews-Zoom_Tours_Niagara_Falls-Toronto_Ontario.html
76,"Explore and Taste The Junction, Toronto’s Hippest Neighbourhood (3 Hours)",Walking Tours,3 hours,$79.70,per adult,Free cancellation,By Toronto Food Adventures,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d20268703-Reviews-Toronto_Food_Adventures-Toronto_Ontario.html
77,"Low Cost - Private Arrival Transfer: Toronto Airport to Niagara Falls, Canada",,2 hours,$242.93,per adult,Free cancellation,By Elite GTA Airport Limousine/Taxi,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d10077573-Reviews-Elite_GTA_Airport_Limousine_Taxi-Toronto_Ontario.html
78,Toronto Sights & Sips Cocktail Cruise,City Tours,1 hour,$30.84,per adult,Free cancellation,By City Cruises Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1744957-Reviews-City_Cruises_Toronto-Toronto_Ontario.html
79,Private Toronto Kensington Market and Chinatown Walking Tour in English,Walking Tours,2 hours,$57.81,per adult,Free cancellation,By Top Dog Tours Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d17747774-Reviews-Top_Dog_Tours_Toronto-Toronto_Ontario.html
80,"Guided Bicycle Tour - Midtown, Brickworks and Distillery District",Adventure Tours,3 hours,$80.51,per adult,Free cancellation,By Pedal Toronto,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d14009496-Reviews-Pedal_Toronto-Toronto_Ontario.html
