,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
243,Sandboarding and Quad Biking Combo Day Tour from Cape Town,Full-day Tours,6+ hours,$123.08,per adult,Free cancellation,By CapeXtreme Adventure Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d4476329-Reviews-CapeXtreme_Adventure_Tours-Cape_Town_Central_Western_Cape.html
244,Private Hiking Tour of Table Mountain,,6 hours,$162.71,per adult,Free cancellation,By AWOL Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d481272-Reviews-AWOL_Tours-Cape_Town_Central_Western_Cape.html
245,The Constantia Wineland,Bus Tours,7–8 hours,$41.03,per adult,Free cancellation,By SadiCapeTours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d11914490-Reviews-SadiCapeTours-Cape_Town_Central_Western_Cape.html
246,"Jeep Dune Adventure Tour, Cape Town",Adventure Tours,3 hours,$150.09,per adult,Free cancellation,By Jeep Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d14797026-Reviews-Jeep_Tours-Cape_Town_Central_Western_Cape.html
247,City Escape: Cape Peninsula Private Day Trip,Shore Excursions,6+ hours,$171.97,per adult,Free cancellation,By Withlocals,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d16875283-Reviews-Withlocals-Cape_Town_Central_Western_Cape.html
248,Half Day Cape Point (mornings only),Bus Tours,4 hours,$71.11,per adult,Free cancellation,By Hylton Ross Exclusive Touring,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d3792341-Reviews-Hylton_Ross_Exclusive_Touring-Cape_Town_Central_Western_Cape.html
249,Sunset & Champagne Cruise for 2 pax on TIGGER 2 ( Guaranteed departure ),Private and Luxury,1–2 hours,$123.08,per adult,,By Tigger 2 Charters,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d9870370-Reviews-Tigger_2_Charters-Cape_Town_Central_Western_Cape.html
250,Cultural Cape Town Tour Including Langa Township and Bo-Kaap,Bus Tours,3 hours,$51.28,per adult,,By Springbok Atlas Day Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312559-d2038995-Reviews-Springbok_Atlas_Day_Tours-Port_Elizabeth_Eastern_Cape.html
251,Hike Lion's Head sunset,Ports of Call Tours,4 hours,$61.54,per adult,Free cancellation,By Cape Escape Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17413519-Reviews-Cape_Escape_Tours-Cape_Town_Central_Western_Cape.html
252,Half Day Cape Point Tour from Cape Town,Bus Tours,4 hours,$80.74,per adult,Free cancellation,By Thompson's Touring & Safaris - Day Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d2216915-Reviews-Thompson_s_Touring_Safaris_Day_Tours-Cape_Town_Central_Western_Cape.html
253,"Cape of Good Hope, Cape Point & Penguins private customizable Afternoon Tour",Bus Tours,5 hours,$85.47,per adult,Free cancellation,By Cape Escape Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17413519-Reviews-Cape_Escape_Tours-Cape_Town_Central_Western_Cape.html
254,Cape of Good Hope and Cape Winelands Day Tour from Cape Town,Bus Tours,8–9 hours,$160.00,per adult,Free cancellation,,Cape Town,South Africa,
255,Half Day Trip to Boulders Beach Penguin Colony,Bus Tours,4–5 hours,$62.20,per adult,Free cancellation,By Cape Archives Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17735704-Reviews-Cape_Archives_Tours-Cape_Town_Central_Western_Cape.html
256,Hermanus and Whale Route Trike Tour from Cape Town,Full-day Tours,6+ hours,$327.85,per group,,By Cape Town Trike Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d7191554-Reviews-Cape_Town_Trike_Tours-Cape_Town_Central_Western_Cape.html
257,,1,8,,,10,,Cape Town,South Africa,
258,,,,,,,Clear all filters,Cape Town,South Africa,
259,Group Surfing Lesson,,1–2 hours,$24.55,per adult,Free cancellation,By Learn 2 Surf Cape Town,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g1509162-d3701037-Reviews-Learn_2_Surf_Cape_Town-Muizenberg_Western_Cape.html
260,Township & Robben Island Full Day Tour,Bus Tours,6+ hours,$131.29,per adult,,By Go That Way,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d3246245-Reviews-Go_That_Way-Cape_Town_Central_Western_Cape.html
261,Group Surf Lesson in Cape Town,Surfing Lessons,1–2 hours,$59.49,per adult,Free cancellation,By Stoked School of Surf,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d2155418-Reviews-Stoked_School_of_Surf-Cape_Town_Central_Western_Cape.html
