WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
602,https://www.tripadvisor.com/Attraction_Review-g150800-d7224430-Reviews-Cineteca_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/c6/c6/10/cinemateca-nacional-um.jpg?w=500&h=400&s=1,Cineteca Nacional,42.,https://www.tripadvisor.com/Attraction_Review-g150800-d7224430-Reviews-Cineteca_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Points of Interest & Landmarks,Xoco
482,https://www.tripadvisor.com/Attraction_Review-g150800-d7806134-Reviews-Museo_del_Tiempo_Tlalpan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/bd/2e/55/museo-del-tiempo-en-plaza.jpg?w=500&h=400&s=1,Museo del Tiempo Tlalpan,43.,https://www.tripadvisor.com/Attraction_Review-g150800-d7806134-Reviews-Museo_del_Tiempo_Tlalpan-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Tlalpan
103,https://www.tripadvisor.com/Attraction_Review-g150800-d13276467-Reviews-Parque_La_Mexicana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8a/23/6f/one-of-the-best-parks.jpg?w=500&h=-1&s=1,Parque La Mexicana,44.,https://www.tripadvisor.com/Attraction_Review-g150800-d13276467-Reviews-Parque_La_Mexicana-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Parks,Cuajimalpa de Morelos
"1,133",https://www.tripadvisor.com/Attraction_Review-g150800-d155977-Reviews-Gran_Hotel_Ciudad_de_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/2e/b9/1a/gran-hotel-ciudad-de.jpg?w=500&h=400&s=1,Gran Hotel Ciudad de Mexico,45.,https://www.tripadvisor.com/Attraction_Review-g150800-d155977-Reviews-Gran_Hotel_Ciudad_de_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Architectural Buildings,Centro Histórico
393,https://www.tripadvisor.com/Attraction_Review-g150800-d152534-Reviews-Museum_of_Modern_Art_Museo_de_Arte_Moderno-Mexico_City_Central_Mexico_and_Gulf_Coa.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/4b/33/ce/museo-de-arte-moderno.jpg?w=500&h=-1&s=1,Museum of Modern Art (Museo de Arte Moderno),46.,https://www.tripadvisor.com/Attraction_Review-g150800-d152534-Reviews-Museum_of_Modern_Art_Museo_de_Arte_Moderno-Mexico_City_Central_Mexico_and_Gulf_Coa.html#REVIEWS,Speciality Museums,Miguel Hidalgo
378,https://www.tripadvisor.com/Attraction_Review-g150800-d153787-Reviews-Auditorio_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/36/a4/8e/auditorio-nacional.jpg?w=500&h=400&s=1,Auditorio Nacional,47.,https://www.tripadvisor.com/Attraction_Review-g150800-d153787-Reviews-Auditorio_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Theaters,Miguel Hidalgo
442,https://www.tripadvisor.com/Attraction_Review-g150800-d152634-Reviews-Franz_Mayer_Museum_Museo_Franz_Mayer-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6b/e3/a8/fantastico-claustro-buenas.jpg?w=500&h=-1&s=1,Franz Mayer Museum (Museo Franz Mayer),48.,https://www.tripadvisor.com/Attraction_Review-g150800-d152634-Reviews-Franz_Mayer_Museum_Museo_Franz_Mayer-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums • Art Museums,Cuauhtémoc District
38,https://www.tripadvisor.com/Attraction_Review-g150800-d8820194-Reviews-Day_of_the_dead-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/88/f8/83/20161030-124359-largejpg.jpg?w=500&h=400&s=1,Day of the dead,49.,https://www.tripadvisor.com/Attraction_Review-g150800-d8820194-Reviews-Day_of_the_dead-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Cultural Events,Reforma / Zona Rosa
526,https://www.tripadvisor.com/Attraction_Review-g150800-d152765-Reviews-Antiguo_Colegio_de_San_Ildefonso-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6e/ea/43/frida-kahlo-asistio-a.jpg?w=500&h=-1&s=1,Antiguo Colegio de San Ildefonso,50.,https://www.tripadvisor.com/Attraction_Review-g150800-d152765-Reviews-Antiguo_Colegio_de_San_Ildefonso-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Art Museums,Centro Histórico
455,https://www.tripadvisor.com/Attraction_Review-g150800-d155969-Reviews-Papalote_Museo_del_Nino-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a8/c3/21/papalote-museo-del-nino.jpg?w=500&h=400&s=1,Papalote Museo del Nino,51.,https://www.tripadvisor.com/Attraction_Review-g150800-d155969-Reviews-Papalote_Museo_del_Nino-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Miguel Hidalgo
