WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
"4,000+ places sorted by traveler favorites",,,,,,,
606,https://www.tripadvisor.com/Attraction_Review-g293974-d3202914-Reviews-Museum_of_Innocence-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/4d/f3/d0/museum-of-innocence.jpg?w=500&h=400&s=1,Museum of Innocence,45.,https://www.tripadvisor.com/Attraction_Review-g293974-d3202914-Reviews-Museum_of_Innocence-Istanbul.html#REVIEWS,Speciality Museums,Beyoglu
117,https://www.tripadvisor.com/Attraction_Review-g293974-d11876920-Reviews-Vodafone_Arena-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d4/af/bc/vodafone-arena.jpg?w=500&h=-1&s=1,Vodafone Arena,46.,https://www.tripadvisor.com/Attraction_Review-g293974-d11876920-Reviews-Vodafone_Arena-Istanbul.html#REVIEWS,Arenas & Stadiums,New City / Taksim
"1,980",https://www.tripadvisor.com/Attraction_Review-g293974-d3524344-Reviews-Hodjapasha_Cultural_Center-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/14/96/5b/hocapasa-kultur-merkezi.jpg?w=500&h=400&s=1,Hodjapasha Cultural Center,47.,https://www.tripadvisor.com/Attraction_Review-g293974-d3524344-Reviews-Hodjapasha_Cultural_Center-Istanbul.html#REVIEWS,Theaters,Sirkeci
401,https://www.tripadvisor.com/Attraction_Review-g293974-d3386223-Reviews-Forum_Istanbul_Alisveris_Merkezi-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/31/bf/c6/forum-istanbul-bi-baska.jpg?w=500&h=400&s=1,Forum Istanbul Alisveris Merkezi,48.,https://www.tripadvisor.com/Attraction_Review-g293974-d3386223-Reviews-Forum_Istanbul_Alisveris_Merkezi-Istanbul.html#REVIEWS,Shopping Malls,Open now
443,https://www.tripadvisor.com/Attraction_Review-g293974-d3735692-Reviews-Kadikoy_Istanbul_Boga_MeydanI-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d2/2d/9d/genel-gorunum.jpg?w=500&h=-1&s=1,Kadikoy Istanbul Boğa Meydanı,49.,https://www.tripadvisor.com/Attraction_Review-g293974-d3735692-Reviews-Kadikoy_Istanbul_Boga_MeydanI-Istanbul.html#REVIEWS,Points of Interest & Landmarks,
381,https://www.tripadvisor.com/Attraction_Review-g293974-d6697587-Reviews-Mall_of_Istanbul-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/89/6b/14/photo0jpg.jpg?w=500&h=400&s=1,Mall of Istanbul,50.,https://www.tripadvisor.com/Attraction_Review-g293974-d6697587-Reviews-Mall_of_Istanbul-Istanbul.html#REVIEWS,Shopping Malls,Open now
228,https://www.tripadvisor.com/Attraction_Review-g293974-d524126-Reviews-Yildiz_Park-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/19/69/99/yildiz-park.jpg?w=500&h=-1&s=1,Yildiz Park,51.,https://www.tripadvisor.com/Attraction_Review-g293974-d524126-Reviews-Yildiz_Park-Istanbul.html#REVIEWS,Parks,New City / Taksim
611,https://www.tripadvisor.com/Attraction_Review-g293974-d548937-Reviews-Corlulu_Ali_Pasa_Medresesi-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/97/e2/2c/corlulu-ali-pasa-medresesi.jpg?w=500&h=400&s=1,Corlulu Ali Pasa Medresesi,52.,https://www.tripadvisor.com/Attraction_Review-g293974-d548937-Reviews-Corlulu_Ali_Pasa_Medresesi-Istanbul.html#REVIEWS,Points of Interest & Landmarks • Religious Sites,Grand Bazaar
379,https://www.tripadvisor.com/Attraction_Review-g293974-d317499-Reviews-Askeri_Muze_ve_Kultur_Sitesi_KomutanlIgI-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/6a/e7/a7/military-museum-asker.jpg?w=500&h=-1&s=1,Askerî Müze ve Kültür Sitesi Komutanlığı,53.,https://www.tripadvisor.com/Attraction_Review-g293974-d317499-Reviews-Askeri_Muze_ve_Kultur_Sitesi_KomutanlIgI-Istanbul.html#REVIEWS,Military Museums,Sisli
583,https://www.tripadvisor.com/Attraction_Review-g293974-d3140819-Reviews-Sakip_Sabanci_Museum-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/39/32/83/caption.jpg?w=500&h=-1&s=1,Sakip Sabanci Museum,54.,https://www.tripadvisor.com/Attraction_Review-g293974-d3140819-Reviews-Sakip_Sabanci_Museum-Istanbul.html#REVIEWS,Speciality Museums,Open now
344,https://www.tripadvisor.com/Attraction_Review-g293974-d2626822-Reviews-Via_Port_Outlet-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/fe/cf/76/yemek-alani-viaport-avm.jpg?w=500&h=400&s=1,Via/Port Outlet,55.,https://www.tripadvisor.com/Attraction_Review-g293974-d2626822-Reviews-Via_Port_Outlet-Istanbul.html#REVIEWS,Shopping Malls,
215,https://www.tripadvisor.com/Attraction_Review-g293974-d11834078-Reviews-Madame_Tussauds_Istanbul-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b9/54/0b/20190528-123636-largejpg.jpg?w=500&h=-1&s=1,Madame Tussauds Istanbul,56.,https://www.tripadvisor.com/Attraction_Review-g293974-d11834078-Reviews-Madame_Tussauds_Istanbul-Istanbul.html#REVIEWS,Speciality Museums,Beyoglu
451,https://www.tripadvisor.com/Attraction_Review-g293974-d4288286-Reviews-Princes_Islands-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/31/a5/a7/20181029-175210-largejpg.jpg?w=500&h=400&s=1,Princes' Islands,57.,https://www.tripadvisor.com/Attraction_Review-g293974-d4288286-Reviews-Princes_Islands-Istanbul.html#REVIEWS,Islands,
319,https://www.tripadvisor.com/Attraction_Review-g293974-d3202881-Reviews-Istanbul_Toy_Museum-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d3/84/d5/istanbul-toy-museum.jpg?w=500&h=-1&s=1,Istanbul Toy Museum,58.,https://www.tripadvisor.com/Attraction_Review-g293974-d3202881-Reviews-Istanbul_Toy_Museum-Istanbul.html#REVIEWS,Speciality Museums,
240,https://www.tripadvisor.com/Attraction_Review-g293974-d2077016-Reviews-Vefa_Bozacisi-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/db/cb/d8/boza-you-should-add-some.jpg?w=500&h=-1&s=1,Vefa Bozacisi,59.,https://www.tripadvisor.com/Attraction_Review-g293974-d2077016-Reviews-Vefa_Bozacisi-Istanbul.html#REVIEWS,Breweries,Grand Bazaar
"1,158",https://www.tripadvisor.com/Attraction_Review-g293974-d307883-Reviews-Kucuk_Ayasofya_Camii_Church_of_the_Saints_Sergius_and_Bacchus-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cd/61/d4/2.jpg?w=500&h=400&s=1,Kucuk Ayasofya Camii (Church of the Saints Sergius and Bacchus),60.,https://www.tripadvisor.com/Attraction_Review-g293974-d307883-Reviews-Kucuk_Ayasofya_Camii_Church_of_the_Saints_Sergius_and_Bacchus-Istanbul.html#REVIEWS,Religious Sites,Sirkeci
3,,,,,,1,2
385,https://www.tripadvisor.com/Attraction_Review-g293974-d548907-Reviews-Bagdat_Street-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/c6/82/2f/goztepe-park.jpg?w=500&h=-1&s=1,Bagdat Street,61.,https://www.tripadvisor.com/Attraction_Review-g293974-d548907-Reviews-Bagdat_Street-Istanbul.html#REVIEWS,Neighborhoods,
829,https://www.tripadvisor.com/Attraction_Review-g293974-d1788422-Reviews-Arasta_Bazaar-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/99/46/7b/photo2jpg.jpg?w=500&h=400&s=1,Arasta Bazaar,62.,https://www.tripadvisor.com/Attraction_Review-g293974-d1788422-Reviews-Arasta_Bazaar-Istanbul.html#REVIEWS,Flea & Street Markets,Sultanahmet
231,https://www.tripadvisor.com/Attraction_Review-g293974-d3701203-Reviews-Galata_Mevlevi_Museum-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/c6/a6/galata-mevlevi-museum.jpg?w=500&h=400&s=1,Galata Mevlevi Museum,63.,https://www.tripadvisor.com/Attraction_Review-g293974-d3701203-Reviews-Galata_Mevlevi_Museum-Istanbul.html#REVIEWS,History Museums,Beyoglu
