,Attraction Name,Attraction Type,City,Country
186,Roque Saenz Pena Avenue (Diagonal Norte),Points of Interest & Landmarks,Buenos Aires,Argentina
187,Museo de Arte Popular Jose Hernandez,History Museums,Buenos Aires,Argentina
188,El Santuario de Schoenstatt,Religious Sites,Buenos Aires,Argentina
189,Plaza Intendente Torcuato de Alvear,Points of Interest & Landmarks,Buenos Aires,Argentina
190,Basilica Nuestra Senora de la Piedad,Churches & Cathedrals,Buenos Aires,Argentina
191,El Solar,Shopping Malls,Buenos Aires,Argentina
192,Plaza de la Republica,Points of Interest & Landmarks,Buenos Aires,Argentina
193,,1,Buenos Aires,Argentina
194,Parque Saavedra,Parks • Playgrounds,Buenos Aires,Argentina
195,Teatro Gran Rivadavia,Theaters,Buenos Aires,Argentina
196,Iglesia Inmaculada  Concepcion,Points of Interest & Landmarks • Churches & Cathedrals,Buenos Aires,Argentina
197,Vinoteca SOIL,Wineries & Vineyards,Buenos Aires,Argentina
198,Multiteatro Comafi,Theaters,Buenos Aires,Argentina
199,Museo Casa de Yrurtia,Speciality Museums,Buenos Aires,Argentina
200,Basílica de Nuestra Senõra del Socorro,Points of Interest & Landmarks,Buenos Aires,Argentina
201,Museo Etnografico - Juan B. Ambrosetti,Speciality Museums,Buenos Aires,Argentina
202,El Teatro Flores,Theaters,Buenos Aires,Argentina
203,Plaza Almagro,Parks,Buenos Aires,Argentina
204,Diego Armando Maradona Stadium,Arenas & Stadiums,Buenos Aires,Argentina
205,MACBA - Museo de Arte Contemporáneo Buenos Aires,Art Museums,Buenos Aires,Argentina
206,Congregacion Israelita de la Republica Argentina,Religious Sites,Buenos Aires,Argentina
207,Plaza Bartolome Mitre,Points of Interest & Landmarks,Buenos Aires,Argentina
208,Jewish Museum of Buenos Aires,Speciality Museums,Buenos Aires,Argentina
209,Basilica de San Jose de Flores,Churches & Cathedrals,Buenos Aires,Argentina
210,Patio Andaluz,Parks,Buenos Aires,Argentina
211,Terminal de Cruceros Quinquela Martin,Points of Interest & Landmarks,Buenos Aires,Argentina
212,Palacio Piccaluga,Architectural Buildings,Buenos Aires,Argentina
213,Monumento a Combatientes de Malvinas,Points of Interest & Landmarks • Monuments & Statues,Buenos Aires,Argentina
214,Barrio de Caballito,Neighborhoods,Buenos Aires,Argentina
215,Russian Orthodox Church (Iglesia Apostolica Ortodoxa Rusa),Architectural Buildings • Religious Sites,Buenos Aires,Argentina
216,Pasaje de La Piedad,Historic Walking Areas,Buenos Aires,Argentina
217,Cine Arteplex,Theaters,Buenos Aires,Argentina
218,Eco Park,Parks,Buenos Aires,Argentina
219,Faena Arts Center,Art Museums,Buenos Aires,Argentina
220,Santuario Eucaristico Jesus Sacramentado,Churches & Cathedrals,Buenos Aires,Argentina
221,MuHu - Museo del Humor,Speciality Museums,Buenos Aires,Argentina
222,Parroquia San Maron,Churches & Cathedrals,Buenos Aires,Argentina
223,Teatro Vorterix,Theaters,Buenos Aires,Argentina
224,,1,Buenos Aires,Argentina
225,Cafe Vinilo,Theaters,Buenos Aires,Argentina
226,Harrods,Architectural Buildings,Buenos Aires,Argentina
227,Monumento de los Espanoles,Monuments & Statues,Buenos Aires,Argentina
228,Palacio Legislativo,Architectural Buildings,Buenos Aires,Argentina
229,Calle Lanin,Points of Interest & Landmarks,Buenos Aires,Argentina
230,Iglesia Santa Felicitas,Churches & Cathedrals,Buenos Aires,Argentina
231,Plaza Libertad,Points of Interest & Landmarks,Buenos Aires,Argentina
232,Palais de Glace-Salas Nacionales de Cultura,Art Galleries • Arenas & Stadiums,Buenos Aires,Argentina
233,Parque Micaela Bastidas,Points of Interest & Landmarks • Parks,Buenos Aires,Argentina
234,zoologico de Lujan,Zoos,Buenos Aires,Argentina
235,Opera Allianz,Theaters,Buenos Aires,Argentina
236,Plaza Estado del Vaticano,Points of Interest & Landmarks,Buenos Aires,Argentina
237,Plaza Irlanda,Points of Interest & Landmarks,Buenos Aires,Argentina
238,Túmulo de Liliana Crociati de Szaszak,Points of Interest & Landmarks • Cemeteries,Buenos Aires,Argentina
239,Plaza Republica del Peru,Parks,Buenos Aires,Argentina
240,Barrio de Abasto,Neighborhoods,Buenos Aires,Argentina
241,Museo del Cine Pablo Ducros Hicken,Speciality Museums,Buenos Aires,Argentina
242,Barrio Norte,Neighborhoods,Buenos Aires,Argentina
243,Circuito KDT,Sports Complexes,Buenos Aires,Argentina
244,Parroquia Nuestra Senora del Carmen,Churches & Cathedrals,Buenos Aires,Argentina
245,Autodromo de Buenos Aires,Auto Racing Tracks,Buenos Aires,Argentina
246,FC BAFA (Buenos Aires Futbol Amigos),Sports Camps & Clinics,Buenos Aires,Argentina
247,Edificio No Hi Ha Somnis Impossibles,Architectural Buildings,Buenos Aires,Argentina
248,Galeria del Viejo Hotel,Art Galleries,Buenos Aires,Argentina
249,Our Lady of Rosario Basilica,Historic Sites • Religious Sites,Buenos Aires,Argentina
250,Fundacion Mercedes Sosa,Civic Centres,Buenos Aires,Argentina
251,Monumento a Carlos Pellegrini,Monuments & Statues,Buenos Aires,Argentina
252,Museo Histórico Cornelio de Saavedra,History Museums,Buenos Aires,Argentina
253,Cine Hoyts,Theaters,Buenos Aires,Argentina
254,Monumento a Carlos Gardel,Monuments & Statues,Buenos Aires,Argentina
255,,1,Buenos Aires,Argentina
